,text,topic
17933,""" well , there's mr . myagi . . . """,movie
42520,"for ever , i sat in anticipation for a decent climax and that's what i got ?",movie
62218,it even shows them in bed together .,movie
48179,"schwarzenegger is awful , i mean really , really bad . . .",movie
11546,"rose goes out onto the ship's ledge , and we then learn a secret about her that catches us off guard .",movie
29906,"it' so incredibly moronic , it's just a riot watching reuben relieve himself of bodily functions .",movie
19986,"what follows in pure hysteria , still complicated further by the arrival of spats columbo to florida for the "" italian opera lovers festival "" .",movie
40436,"later that day , woo is given an opportunity to go out on a blind date with tim , a shy man with a penchant for neatness and order , who just happens to be a virgo .",movie
18232,he runs from his past only to be sexually defiled this time by his homosexual experiences in new york .,movie
61220,"with john smith's voice chattering on in the background and allowing us into his every thought , he becomes more mundane , just another tough guy trying to stay alive .",movie
9289,often the jekyll and hyde archetypes are viewed as splitting a whole person into components of good and evil or perhaps cerebral and emotional parts .,movie
28609,"the movie is mainly sawa's , however , and the rest of the actors equip themselves well in limited roles .",movie
57655,"he immediately dispels vicki lewis' theory that godzilla is a dinosaur because , hey , you can't take seriously the intellectual arguments of "" newsradio "" cast members .",movie
3535,"in this context , the joke works , but like the latest columbine joke , some people will get it and enjoy a good laugh , and others won't .",movie
33937,now we can add two other hong kong filmmakers to the mix with star jet li and director and fight choreographer corey yuen kwai .,movie
26796,"also lacking depth is the film's "" bad guy , "" a narrow-minded music teacher ( josh pais ) who rejects roberta out of principle ( the movie never explains exactly which principle that is ) and conveniently comes and goes from the plot according to when it might be dramatic to have a villain around .",movie
2769,"we watch them struggle to cover the horror , while trying to remain professionally detached .",movie
18857,powell finds out about the stash and decides to court mrs . harper after he's released and ben is hanged .,movie
47640,"i figured i needed to get in touch with my feminine side , and `hanging up' seemed like an ideal opportunity to do so .",movie
23142,"since the characters only interact with each other there isn't much pop culture references , as almost everything has a deeper philosophy behind it .",movie
22080,"maybe that's where you met your significant other , and , had you reached the platform just a few seconds later ?",movie
53811,i can't remember when we disagreed on the relative merits of a clunker until species 2 came along .,movie
10208,stephen holden of `the new york times' had more than a share of beatings to lay upon a dog of flanders via pen writing .,movie
2843,"when he is prepared to execute his plan , he uses what he has learned to fake a stroke .",movie
28471,"it takes place in an era when it was common practice in england to jail vagrants and hang beggars , and that practice comes in for an obvious hazing .",movie
21762,i was pleasantly surprised : the music is top-notch .,movie
16358,"if you don't believe me , look at jack nicholson's performance in "" as good as it gets "" : great performance , but easy job .",movie
45720,"even sandler , annoying goofy voice and all , has enough charisma and natural comedic ability to overcome some of his bad material .",movie
3829,"i mean , i was completely convinced that every single one of these apes was for real !",movie
19088,perhaps not .,movie
49187,"if it was from ridley , than the movie would be a thoughtful suspensor with action thrown in .",movie
8548,`oh behave !,movie
19676,"aside from the performances , what makes all the characters funny and interesting is the astute dialogue .",movie
33757,"ripped straight from the pages of a 1970s zombie movie , ghosts leaps from one convenient moment to the next , stopping only to kill the characters which are most convenient to lose .",movie
13525,"this story focuses on dora , a women set upon by a malevolent spirit that channels itself through her young son marco .",movie
60423,you know those gothic club kids who are too cool to smile and let you know they're actually having fun ?,movie
32648,"marg helgenberger is immensely better this time around , and her performance is probably the best in this film .",movie
35278,"a picnic scene involving the six key characters is just bizarre , not only for the stretched logic of these people hanging out together , or even knowing each other , but mostly because an unusual amount of screen time is dedicated to a goat .",movie
53246,rated r .,movie
6592,two factors combine to make this movie less heavy than it can be .,movie
56017,"of the performances , the only one that stood out was spike lee's buddy character , jimmy .",movie
42123,"gheorghe muresan isn't a natural actor at all , and his thick cotton-mouthed accent certainly doesn't help .",movie
6831,"as a man who just wants out , wahlberg is focused , subtle and sly .",movie
6394,the other scene worth mentioning is so quick you might miss it .,movie
32105,"instead it diverts all attention to the action , which , this year , is second to none .",movie
28061,"he treats his girlfriend natalie , played by tamara craig thomas , like she doesn't matter at all .",movie
60799,consuming a corn dog is about the worst that it gets .,movie
4661,"and here the most significant storyline is that involving the discovery of 10-year-old anakin skywalker ( lloyd ) , by qui-gon jinn and his introduction to the jedi council .",movie
31136,"koop ( shaun parkes ) , our black dj maestro , who has insecurity issues , afraid his girlfriend nina ( nicola reynolds ) is shagging other men .",movie
2486,"the truman show ( paramount pictures ) running time : 1 hour 42 minutes starring jim carrey and ed harris directed by peter weir after a long wait , jim carrey's dramatic debut finally makes it to the big screen .",movie
